"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"GDP","10252.3","10581.8","10936.4","11458.2","12213.7","13036.6","13814.6","14451.9","14712.8","14448.9","14992.1","15542.6","16197","16784.9","17521.7","18219.3","18707.2","19485.4","20494.1","21288.9","22409.7","23557.8","24753.3","26006.8","27325.7"
"Population","282.172","285.082","287.804","290.326","293.046","295.753","298.593","301.58","304.375","307.007","309.322","311.557","313.831","315.994","318.301","320.635","322.941","324.986","326.687","328.24","330.603","332.95","335.281","337.594","339.89"
"Pensions","453.91","480.9","502.72","517.53","537.42","564.71","590.58","636.12","668.75","738.64","756.13","782.28","819.5","870.94","914.57","953.6","980.57","1006.64","1047.42","1107.71","1163.58","1236.24","1313.95","1386.79","1462.97"
"Health Care","351.62","389.62","427.35","468.97","509.48","549.19","582.61","641.79","671.36","764.43","820.7","858.16","818.54","856.14","921.14","1028.43","1105.83","1130.44","1139.92","1235.96","1301.18","1371.39","1442.7","1481.57","1512.76"
"Education","59.93","63.61","77.83","90.54","96.37","106.37","127.58","100.81","100.86","89.77","140.33","113.67","103.28","85.29","102.63","133.78","121.69","156.3","107.94","147.98","125.78","115.6","113.55","109.06","106.5"
"Defense","358.57","366.19","421.7","482.92","542.43","599.98","621.13","652.56","729.58","793.97","847.06","878.43","839.25","818.85","799.95","801.44","813.19","821.57","858.99","890.08","1008.53","1046.48","1072.56","1076.04","1079.8"
"Welfare","171.38","183.04","223.62","242.43","237.76","245.52","249.59","254.23","313.42","406.89","495.78","466.21","411.2","397.8","370.26","361.87","365.61","356.75","348.31","365.95","355.89","355.27","365.42","368.16","368.51"
"Protection","15.83","16.75","20.15","20.33","23.88","24.76","25.09","25.91","31.23","34.59","35.04","36.35","35.73","34.06","32.86","33.99","35.84","36.8","38.15","38.25","43.57","47.83","50.16","52.14","53.6"
"Transportation","46.85","54.45","61.83","67.07","64.63","67.89","70.24","72.91","77.62","84.29","91.97","92.97","93.02","91.67","91.92","89.53","92.57","93.55","92.79","96.22","100.89","100.22","87.38","83.44","82.82"
"General Government","28.07","29.57","32.67","39.92","45.1","35.1","35.46","36.23","37.65","41.02","44.08","48.66","50.59","48.97","44.39","43.66","47.12","48.51","47.99","48.28","58.68","56.32","55.86","55.55","55.64"
"Other Spending","79.84","72.56","72.08","77.12","75.53","94.45","126.17","71.03","99.33","377.18","29.79","96.39","135.05","30.28","-0.37","22.36","50.17","68.52","102.56","96","108.66","68.35","66","53.65","28.69"
"Interest","222.95","206.17","170.95","153.07","160.25","183.99","226.6","237.11","252.76","186.9","196.19","229.96","220.41","220.89","228.96","223.18","240.03","262.55","324.98","375.61","478.81","547.5","609.88","663.69","701.69"
